ip	class	tld	entropy	len	norm_entropy	vowel_ratio	digit_ratio	repeat_letter	consec_digit	consec_consonant	gib_value	hmm_log	uni_rank	bi_rank	tri_rank	uni_std	bi_std	tri_std	private_tld
indiblogger.in.	0	in	2.245	13.0	0.173	0.31	0.00	0.15	0.00	0.46	1.00	-31.72	8.55	106.83	856.55	5.23	107.33	1199.34	0
pichunter.com.	0	com	2.272	11.0	0.207	0.27	0.00	0.00	0.00	0.36	1.00	-22.96	8.89	74.00	649.56	4.82	72.64	619.32	0
crunchyroll.com.	0	com	2.138	13.0	0.164	0.15	0.00	0.23	0.00	0.69	1.00	-35.99	10.00	165.00	2651.73	4.53	142.37	3504.94	0
tinhte.vn.	0	vn	1.733	8.0	0.217	0.25	0.00	0.12	0.00	0.38	1.00	-27.17	7.33	110.86	2462.00	4.92	154.42	3220.11	0
rackcdn.com.	0	com	1.889	9.0	0.210	0.11	0.00	0.11	0.00	0.56	0.00	-20.88	9.43	228.12	2973.29	4.62	199.26	3702.44	0
gumtree.pl.	0	pl	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.33	1.00	-27.66	7.86	144.50	2213.71	5.36	143.72	2193.23	0
yummly.com.	0	com	1.560	8.0	0.195	0.12	0.00	0.25	0.00	0.50	0.00	-25.59	13.67	260.57	6498.50	3.94	117.09	6057.79	0
turkishairlines.com.	0	com	2.395	17.0	0.141	0.35	0.00	0.18	0.00	0.35	1.00	-37.62	7.27	80.81	722.13	4.89	67.67	674.11	0
kanald.com.tr.	0	com.tr	1.733	8.0	0.217	0.25	0.00	0.12	0.00	0.25	1.00	-26.70	8.50	105.14	549.00	5.59	77.24	321.22	0
readserver.net.	0	net	1.820	12.0	0.152	0.33	0.00	0.17	0.00	0.33	1.00	-26.93	6.20	79.64	428.90	6.19	90.31	571.69	0
tocmai.ro.	0	ro	1.906	8.0	0.238	0.38	0.00	0.00	0.00	0.25	0.00	-28.38	6.17	131.57	2289.17	3.44	147.01	3008.78	0
yazete.com.	0	com	1.733	8.0	0.217	0.38	0.00	0.12	0.00	0.00	1.00	-20.11	9.17	147.14	1643.17	9.46	115.31	1655.32	0
heavy.com.	0	com	1.748	7.0	0.250	0.29	0.00	0.00	0.00	0.29	1.00	-18.60	12.20	194.00	3164.00	8.89	230.38	2558.53	0
listverse.com.	0	com	2.020	11.0	0.184	0.27	0.00	0.18	0.00	0.45	1.00	-26.20	6.67	70.40	1144.33	5.94	77.48	1819.89	0
nickjr.com.	0	com	1.906	8.0	0.238	0.12	0.00	0.00	0.00	0.50	0.00	-20.15	12.00	289.00	5051.50	7.66	324.71	4880.32	0
cyberpresse.ca.	0	ca	1.992	13.0	0.153	0.23	0.00	0.23	0.00	0.62	1.00	-35.11	7.55	131.58	1009.00	5.88	151.61	948.83	0
metafilter.com.	0	com	2.138	12.0	0.178	0.33	0.00	0.17	0.00	0.17	1.00	-27.86	6.80	74.64	917.80	5.44	80.06	969.67	0
freekaamaal.com.	0	com	1.925	13.0	0.148	0.46	0.00	0.15	0.00	0.15	0.00	-32.78	6.73	140.50	2198.27	6.62	123.37	2389.08	0
mango.com.	0	com	1.748	7.0	0.250	0.29	0.00	0.00	0.00	0.29	1.00	-14.88	8.00	45.83	375.80	5.18	47.98	408.16	0
policymic.com.	0	com	2.020	11.0	0.184	0.27	0.00	0.18	0.00	0.27	1.00	-28.89	9.33	138.10	2338.89	4.90	138.75	3084.09	0
99114.com.	0	com	1.352	7.0	0.193	0.00	0.71	0.00	0.71	0.00	1.00	-15.94	31.60	506.17	5041.80	4.03	107.94	3084.70	0
dek-d.com.	0	com	1.550	7.0	0.221	0.14	0.00	0.14	0.00	0.00	0.00	-22.77	13.20	241.33	6364.20	7.36	199.08	3721.90	0
binary-machine.com.	0	com	2.426	16.0	0.152	0.31	0.00	0.19	0.00	0.25	1.00	-37.33	9.29	107.13	1084.79	6.67	134.08	1455.06	0
redbubble.com.	0	com	1.846	11.0	0.168	0.27	0.00	0.18	0.00	0.45	1.00	-28.09	9.67	147.90	2122.67	5.44	131.38	1859.90	0
