ip	class	tld	entropy	len	norm_entropy	vowel_ratio	digit_ratio	repeat_letter	consec_digit	consec_consonant	gib_value	hmm_log	uni_rank	bi_rank	tri_rank	uni_std	bi_std	tri_std	private_tld
bawfnke.com.pa.	1	com.pa	2.043	9.0	0.227	0.22	0.00	0.00	0.00	0.44	0.00	-999.00	12.14	276.75	5883.14	7.81	278.52	7283.29	0
bawkvijo.md.	1	md	2.164	10.0	0.216	0.30	0.00	0.00	0.00	0.30	0.00	-999.00	13.88	314.22	4457.38	8.94	280.23	2963.30	0
bawltfbs.com.py.	1	com.py	2.025	10.0	0.203	0.10	0.00	0.10	0.00	0.60	0.00	-999.00	11.75	284.44	5063.75	6.57	213.35	4014.35	0
bawmo.com.gt.	1	com.gt	1.748	7.0	0.250	0.29	0.00	0.00	0.00	0.29	0.00	-36.12	10.40	193.33	5260.60	7.20	204.11	3842.37	0
bawsgrdlk.pk.	1	pk	2.272	11.0	0.207	0.09	0.00	0.00	0.00	0.64	0.00	-999.00	11.56	236.30	5655.78	6.09	132.29	4887.03	0
bawu.cz.	1	cz	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	0.00	-23.03	12.75	252.60	5895.75	6.87	220.02	3715.62	0
baxcmddfo.nl.	1	nl	2.146	11.0	0.195	0.18	0.00	0.09	0.00	0.55	0.00	-44.03	12.11	290.10	7901.00	6.69	188.13	5208.00	0
baxd.ec.	1	ec	1.561	6.0	0.260	0.17	0.00	0.00	0.00	0.33	0.00	-30.76	13.25	249.40	7589.75	7.85	243.91	4482.78	0
baxdxj.lc.	1	lc	1.733	8.0	0.217	0.12	0.00	0.12	0.00	0.50	0.00	-999.00	17.17	484.86	10644.67	8.49	320.00	8565.04	0
baxhz.ae.	1	ae	1.748	7.0	0.250	0.14	0.00	0.00	0.00	0.43	0.00	-999.00	16.60	395.83	6089.80	8.26	326.14	5011.47	0
baxikmrwx.be.	1	be	2.146	11.0	0.195	0.18	0.00	0.09	0.00	0.45	0.00	-999.00	13.89	362.10	7666.67	8.05	254.93	5257.54	0
baxiqvmtk.dm.	1	dm	2.272	11.0	0.207	0.18	0.00	0.00	0.00	0.45	0.00	-999.00	14.78	425.10	4141.00	9.03	303.27	5893.36	0
baxjfzs.com.py.	1	com.py	2.043	9.0	0.227	0.11	0.00	0.00	0.00	0.56	0.00	-999.00	16.71	490.12	4317.86	9.07	398.38	5759.88	0
baxji.pk.	1	pk	1.748	7.0	0.250	0.29	0.00	0.00	0.00	0.29	0.00	-999.00	14.20	305.83	2908.00	9.89	296.09	4538.27	0
baxjo.be.	1	be	1.748	7.0	0.250	0.29	0.00	0.00	0.00	0.29	0.00	-999.00	14.00	275.50	5294.00	10.10	305.77	5082.68	0
baxmhf.cx.	1	cx	1.906	8.0	0.238	0.12	0.00	0.00	0.00	0.50	0.00	-41.22	14.83	379.29	11764.83	7.01	235.22	6775.57	0
baxp.at.	1	at	1.561	6.0	0.260	0.17	0.00	0.00	0.00	0.33	1.00	-29.10	13.75	192.40	6456.75	7.82	129.38	4275.99	0
baxsmzuhv.co.cr.	1	co.cr	2.272	11.0	0.207	0.18	0.00	0.00	0.00	0.55	0.00	-999.00	14.89	411.30	10971.44	7.62	238.38	7783.31	0
baxsxcnq.com.ki.	1	com.ki	2.025	10.0	0.203	0.10	0.00	0.10	0.00	0.60	0.00	-999.00	14.75	423.67	8702.62	9.55	229.80	5912.43	0
baxvzmqxo.com.pr.	1	com.pr	2.146	11.0	0.195	0.18	0.00	0.09	0.00	0.55	0.00	-999.00	17.33	553.50	6084.11	9.52	395.78	7941.09	0
baxxbjy.com.gt.	1	com.gt	1.735	9.0	0.193	0.11	0.00	0.22	0.00	0.56	0.00	-999.00	17.86	399.25	7672.71	7.66	301.15	5896.94	0
baxzzrxj.tn.	1	tn	1.887	10.0	0.189	0.10	0.00	0.20	0.00	0.60	0.00	-999.00	18.38	527.44	7368.00	8.96	311.69	7673.03	0
bayj.co.vi.	1	co.vi	1.561	6.0	0.260	0.17	0.00	0.00	0.00	0.33	0.00	-999.00	15.50	297.00	7409.00	8.73	259.57	6803.05	0
baykpa.ir.	1	ir	1.733	8.0	0.217	0.25	0.00	0.12	0.00	0.38	0.00	-29.50	11.67	220.00	6287.50	7.04	228.66	7392.98	0
bayljtkqk.to.	1	to	2.146	11.0	0.195	0.09	0.00	0.09	0.00	0.64	0.00	-999.00	16.00	524.70	5279.11	8.43	428.11	8664.06	0
baylq.com.pr.	1	com.pr	1.748	7.0	0.250	0.14	0.00	0.00	0.00	0.43	0.00	-36.28	15.00	348.50	8317.00	9.44	322.59	8982.14	0
baylrpup.com.fj.	1	com.fj	2.025	10.0	0.203	0.20	0.00	0.10	0.00	0.40	0.00	-999.00	11.50	233.22	3787.12	5.12	137.33	4490.47	0
baymho.hk.	1	hk	1.906	8.0	0.238	0.25	0.00	0.00	0.00	0.38	0.00	-999.00	11.17	196.29	1833.00	6.59	206.83	1634.99	0
bayoa.mw.	1	mw	1.550	7.0	0.221	0.43	0.00	0.14	0.00	0.00	1.00	-999.00	8.20	127.33	3821.60	7.30	86.64	3434.02	0
bayqq.sk.	1	sk	1.550	7.0	0.221	0.14	0.00	0.14	0.00	0.43	0.00	-999.00	19.20	411.67	6434.40	10.46	352.69	8965.61	0
bayrdnpxs.in.	1	in	2.272	11.0	0.207	0.09	0.00	0.00	0.00	0.64	0.00	-999.00	11.67	306.20	4515.22	6.72	248.95	4454.16	0
bayrrgx.cd.	1	cd	1.889	9.0	0.210	0.11	0.00	0.11	0.00	0.56	0.00	-999.00	12.57	288.88	5344.71	7.44	229.41	7685.43	0
bayvk.dm.	1	dm	1.748	7.0	0.250	0.14	0.00	0.00	0.00	0.43	0.00	-999.00	15.20	296.83	3631.40	6.97	287.38	3858.53	0
bazcsyhtp.ca.	1	ca	2.272	11.0	0.207	0.09	0.00	0.00	0.00	0.64	0.00	-999.00	12.67	298.10	4956.44	6.91	187.46	4117.57	0
bazlqrbo.vc.	1	vc	2.025	10.0	0.203	0.20	0.00	0.10	0.00	0.50	0.00	-999.00	13.12	371.33	2045.88	9.53	356.00	3323.23	0
baznkcz.com.bo.	1	com.bo	1.889	9.0	0.210	0.11	0.00	0.11	0.00	0.56	0.00	-999.00	14.71	327.75	3014.57	8.03	233.66	2992.46	0
bazop.sc.	1	sc	1.748	7.0	0.250	0.29	0.00	0.00	0.00	0.00	1.00	-32.17	11.80	161.33	2822.60	8.52	97.08	3090.45	0
bazs.com.gh.	1	com.gh	1.561	6.0	0.260	0.17	0.00	0.00	0.00	0.33	0.00	-33.44	11.75	200.80	5039.50	9.04	234.44	5101.38	0
bazypw.am.	1	am	1.906	8.0	0.238	0.12	0.00	0.00	0.00	0.50	0.00	-39.40	16.00	306.57	7390.67	7.26	208.78	6545.61	0
bbaj.be.	1	be	1.330	6.0	0.222	0.17	0.00	0.17	0.00	0.33	0.00	-27.22	14.50	286.20	4103.75	8.50	189.24	1092.70	0
bbakjo.com.pa.	1	com.pa	1.733	8.0	0.217	0.25	0.00	0.12	0.00	0.50	0.00	-43.55	13.17	260.14	6037.83	8.39	261.06	4036.68	0
bbaqh.kz.	1	kz	1.550	7.0	0.221	0.14	0.00	0.14	0.00	0.57	0.00	-999.00	15.80	380.67	9104.40	8.89	335.69	8821.47	0
bbatzi.com.ag.	1	com.ag	1.733	8.0	0.217	0.25	0.00	0.12	0.00	0.50	0.00	-40.32	11.33	212.43	4501.83	7.89	183.20	2577.08	0
bbaukpftm.pe.	1	pe	2.146	11.0	0.195	0.18	0.00	0.09	0.00	0.64	0.00	-999.00	12.78	295.40	4860.56	5.20	166.39	4009.26	0
bbavwmqfm.nf.	1	nf	2.020	11.0	0.184	0.09	0.00	0.18	0.00	0.73	0.00	-999.00	16.33	536.10	4939.56	7.60	428.25	7615.99	0
bbay.cd.	1	cd	1.330	6.0	0.222	0.17	0.00	0.17	0.00	0.33	1.00	-27.03	12.75	144.60	2147.75	6.42	125.87	1567.01	0
bbbbdvlh.sc.	1	sc	1.609	10.0	0.161	0.00	0.00	0.10	0.00	0.80	0.00	-999.00	15.00	398.00	12099.12	3.50	195.71	8341.05	0
bbbfhjisy.com.tw.	1	com.tw	1.972	11.0	0.179	0.09	0.00	0.09	0.00	0.73	0.00	-999.00	15.11	386.20	7496.67	6.56	282.97	7705.25	0
bbbfvrnef.ae.	1	ae	1.846	11.0	0.168	0.09	0.00	0.18	0.00	0.64	0.00	-999.00	13.56	390.80	3173.67	6.72	306.20	3965.55	0
bbbisz.com.gl.	1	com.gl	1.494	8.0	0.187	0.12	0.00	0.12	0.00	0.62	0.00	-45.21	13.17	261.29	5224.00	7.08	178.97	2703.76	0
bbbjb.com.pt.	1	com.pt	0.956	7.0	0.137	0.00	0.00	0.14	0.00	0.71	0.00	-999.00	17.20	445.00	9045.40	4.40	313.49	7283.84	0
bbbljmfgb.in.	1	in	1.768	11.0	0.161	0.00	0.00	0.09	0.00	0.82	0.00	-999.00	15.78	437.60	9232.33	4.64	244.71	8327.46	0
bbbmc.co.ke.	1	co.ke	1.277	7.0	0.182	0.00	0.00	0.14	0.00	0.71	0.00	-37.99	13.20	312.67	8560.60	2.23	155.37	4930.95	0
bbbods.am.	1	am	1.494	8.0	0.187	0.12	0.00	0.12	0.00	0.62	0.00	-35.59	10.83	182.14	3445.00	4.98	140.26	2609.93	0
bbbqgs.ca.	1	ca	1.494	8.0	0.187	0.00	0.00	0.12	0.00	0.75	0.00	-999.00	16.00	500.43	4806.00	7.30	484.11	6210.55	0
bbbtodexj.com.uy.	1	com.uy	1.972	11.0	0.179	0.18	0.00	0.09	0.00	0.55	0.00	-51.78	13.11	306.30	6989.56	8.05	266.26	6224.42	0
bbbuuos.com.co.	1	com.co	1.523	9.0	0.169	0.33	0.00	0.22	0.00	0.33	0.00	-41.03	11.29	262.75	8873.43	4.71	208.82	6009.08	0
bbbwyc.ly.	1	ly	1.494	8.0	0.187	0.00	0.00	0.12	0.00	0.75	0.00	-999.00	15.83	381.29	4246.50	3.48	220.74	3599.63	0
bbbzogort.gd.	1	gd	1.846	11.0	0.168	0.18	0.00	0.18	0.00	0.55	0.00	-49.04	11.67	227.70	7971.44	6.94	223.84	9445.42	0
bbcexgufl.vc.	1	vc	2.146	11.0	0.195	0.18	0.00	0.09	0.00	0.64	0.00	-52.07	13.67	293.70	7226.89	6.25	208.97	2506.03	0
bbcfth.ht.	1	ht	1.733	8.0	0.217	0.00	0.00	0.12	0.00	0.75	0.00	-44.80	14.00	285.43	4610.17	4.32	189.30	4595.87	0
bbcgk.ac.	1	ac	1.550	7.0	0.221	0.00	0.00	0.14	0.00	0.71	0.00	-35.89	14.80	372.83	11003.20	2.64	245.28	7296.95	0
bbchcnkc.com.ng.	1	com.ng	1.696	10.0	0.170	0.00	0.00	0.20	0.00	0.80	0.00	-53.72	12.88	299.11	7834.12	3.55	187.88	4758.50	0
bbci.sh.	1	sh	1.330	6.0	0.222	0.17	0.00	0.17	0.00	0.50	0.00	-32.42	11.00	216.20	4699.50	4.53	144.97	2172.84	0
bbcsnjqh.com.hn.	1	com.hn	2.025	10.0	0.203	0.00	0.00	0.10	0.00	0.80	0.00	-999.00	15.75	447.78	9020.38	8.06	301.93	9042.16	0
bbcwo.su.	1	su	1.550	7.0	0.221	0.14	0.00	0.14	0.00	0.57	0.00	-35.15	12.80	283.50	8068.80	6.01	223.57	5844.45	0
bbdcq.com.gt.	1	com.gt	1.550	7.0	0.221	0.00	0.00	0.14	0.00	0.71	0.00	-999.00	16.40	429.00	9771.40	7.06	233.24	7634.54	0
bbddx.gr.	1	gr	1.352	7.0	0.193	0.00	0.00	0.29	0.00	0.71	0.00	-999.00	15.60	373.00	9048.60	4.41	248.91	7815.30	0
bbde.cz.	1	cz	1.330	6.0	0.222	0.17	0.00	0.17	0.00	0.50	0.00	-23.55	10.75	187.80	6607.25	5.76	202.31	8229.10	0
bbdhsphs.ie.	1	ie	1.748	10.0	0.175	0.00	0.00	0.30	0.00	0.80	0.00	-48.62	12.50	300.22	10140.25	4.58	186.11	6398.27	0
bbdkbigr.com.tw.	1	com.tw	1.834	10.0	0.183	0.10	0.00	0.10	0.00	0.70	0.00	-45.17	12.62	293.44	8901.88	4.69	220.96	7204.26	0
bbdrg.co.nz.	1	co.nz	1.550	7.0	0.221	0.00	0.00	0.14	0.00	0.71	0.00	-40.06	12.80	260.33	12176.80	3.66	153.91	9067.55	0
bbdv.my.	1	my	1.330	6.0	0.222	0.00	0.00	0.17	0.00	0.67	0.00	-30.57	16.00	317.80	13724.75	3.67	159.36	9297.87	0
bbdvxhhx.cn.	1	cn	1.748	10.0	0.175	0.00	0.00	0.30	0.00	0.80	0.00	-999.00	18.25	516.33	13543.50	4.24	276.40	8276.88	0
bbdzti.com.hn.	1	com.hn	1.733	8.0	0.217	0.12	0.00	0.12	0.00	0.62	0.00	-999.00	13.00	324.57	10374.83	6.71	242.31	9752.13	0
bbeflkbje.ro.	1	ro	1.846	11.0	0.168	0.18	0.00	0.18	0.00	0.64	0.00	-999.00	13.33	303.50	5992.78	7.87	210.45	4719.04	0
bbehhz.no.	1	no	1.560	8.0	0.195	0.12	0.00	0.25	0.00	0.62	0.00	-999.00	15.00	387.71	6249.50	7.12	296.76	5640.46	0
bbeiwi.sg.	1	sg	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	0.00	-33.15	10.00	226.71	4550.67	7.35	154.36	2251.75	0
bbekwljp.com.bs.	1	com.bs	2.025	10.0	0.203	0.10	0.00	0.10	0.00	0.70	0.00	-999.00	14.88	398.00	5863.88	7.06	251.39	5658.42	0
bbelwwp.com.ni.	1	com.ni	1.735	9.0	0.193	0.11	0.00	0.22	0.00	0.67	0.00	-46.90	13.71	289.88	7130.14	6.47	213.12	6401.64	0
bbenwaia.lu.	1	lu	1.887	10.0	0.189	0.40	0.00	0.20	0.00	0.40	1.00	-41.55	8.50	147.89	2754.75	7.09	150.54	1392.85	0
bbezxaup.no.	1	no	2.025	10.0	0.203	0.30	0.00	0.10	0.00	0.40	0.00	-999.00	13.62	312.22	6401.38	8.18	234.78	5982.42	0
bbfbm.us.	1	us	1.277	7.0	0.182	0.00	0.00	0.14	0.00	0.71	0.00	-999.00	15.20	373.00	4240.00	2.86	223.47	4579.06	0
bbfgfvemj.tj.	1	tj	2.020	11.0	0.184	0.09	0.00	0.18	0.00	0.73	0.00	-999.00	16.22	494.40	7955.33	6.83	331.10	8535.24	0
bbfix.com.ar.	1	com.ar	1.550	7.0	0.221	0.14	0.00	0.14	0.00	0.43	0.00	-999.00	15.60	281.67	2659.40	6.71	202.74	2315.73	0
bbfjz.la.	1	la	1.550	7.0	0.221	0.00	0.00	0.14	0.00	0.71	0.00	-999.00	20.20	513.50	8122.40	4.71	316.46	9712.63	0
bbfkn.com.tt.	1	com.tt	1.550	7.0	0.221	0.00	0.00	0.14	0.00	0.71	0.00	-999.00	15.20	435.17	6686.00	4.07	337.05	7234.64	0
bbfql.com.hn.	1	com.hn	1.550	7.0	0.221	0.00	0.00	0.14	0.00	0.71	0.00	-999.00	17.80	550.83	6818.20	7.03	447.61	9246.23	0
bbfrytcu.ps.	1	ps	2.025	10.0	0.203	0.10	0.00	0.10	0.00	0.70	0.00	-999.00	13.12	276.33	6087.00	4.83	165.00	4437.12	0
bbftlmsip.co.il.	1	co.il	2.146	11.0	0.195	0.09	0.00	0.09	0.00	0.64	0.00	-999.00	11.11	264.70	2534.44	5.02	168.58	2605.50	0
bbftynv.li.	1	li	1.889	9.0	0.210	0.00	0.00	0.11	0.00	0.78	0.00	-999.00	15.14	328.50	4541.86	5.38	169.32	4273.92	0
bbfw.co.uk.	1	co.uk	1.330	6.0	0.222	0.00	0.00	0.17	0.00	0.67	0.00	-999.00	17.75	405.80	7502.50	2.77	248.11	8641.26	0
bbgdr.com.br.	1	com.br	1.550	7.0	0.221	0.00	0.00	0.14	0.00	0.71	0.00	-999.00	12.80	307.50	6395.20	3.66	227.26	5231.13	0
bbgexl.ro.	1	ro	1.733	8.0	0.217	0.12	0.00	0.12	0.00	0.62	0.00	-35.93	13.33	292.00	7323.67	7.04	244.50	3817.75	0
bbgigbz.ch.	1	ch	1.523	9.0	0.169	0.11	0.00	0.22	0.00	0.67	0.00	-999.00	15.14	362.88	6154.43	5.64	233.90	4638.08	0
bbgjg.at.	1	at	1.352	7.0	0.193	0.00	0.00	0.29	0.00	0.71	0.00	-999.00	17.60	482.00	9806.20	4.22	348.87	7104.27	0
bbgqqq.co.vi.	1	co.vi	1.321	8.0	0.165	0.00	0.00	0.25	0.00	0.75	0.00	-999.00	22.67	556.00	6225.50	7.34	269.49	5929.29	0
bbguajbom.com.bs.	1	com.bs	1.972	11.0	0.179	0.27	0.00	0.09	0.00	0.45	0.00	-54.50	12.89	329.50	7864.67	6.79	270.30	5655.66	0
bbgulheza.com.jm.	1	com.jm	2.146	11.0	0.195	0.27	0.00	0.09	0.00	0.45	0.00	-56.68	12.56	277.70	6070.78	7.12	197.19	3758.16	0
bbgvhv.com.pr.	1	com.pr	1.560	8.0	0.195	0.00	0.00	0.25	0.00	0.75	0.00	-999.00	17.83	532.00	4804.33	3.02	293.19	5993.26	0
bbgwjiiwb.su.	1	su	1.720	11.0	0.156	0.18	0.00	0.27	0.00	0.64	0.00	-999.00	15.22	470.50	14117.56	6.96	234.71	9008.23	0
bbhdq.com.pr.	1	com.pr	1.550	7.0	0.221	0.00	0.00	0.14	0.00	0.71	0.00	-999.00	17.80	476.67	10896.40	6.31	288.22	8412.35	0
bbhgnohk.md.	1	md	1.887	10.0	0.189	0.10	0.00	0.20	0.00	0.70	0.00	-999.00	13.62	347.00	8306.38	4.95	204.92	6624.92	0
bbhmia.cx.	1	cx	1.733	8.0	0.217	0.25	0.00	0.12	0.00	0.50	0.00	-39.15	10.67	237.29	8921.50	5.73	215.44	8536.06	0
bbhmvc.dk.	1	dk	1.733	8.0	0.217	0.00	0.00	0.12	0.00	0.75	0.00	-37.40	15.00	424.29	13701.00	3.96	224.23	6964.27	0
bbhome.com.ni.	1	com.ni	1.733	8.0	0.217	0.25	0.00	0.12	0.00	0.38	0.00	-40.90	10.33	162.00	4414.33	6.18	197.29	7159.20	0
bbhskuqd.ec.	1	ec	2.025	10.0	0.203	0.10	0.00	0.10	0.00	0.70	0.00	-999.00	15.62	444.33	9505.25	6.59	313.11	8390.47	0
bbhwfhhpt.com.uy.	1	com.uy	1.846	11.0	0.168	0.00	0.00	0.18	0.00	0.82	0.00	-999.00	15.89	460.30	4125.11	3.81	260.44	6792.53	0
bbiattuxm.mn.	1	mn	2.020	11.0	0.184	0.27	0.00	0.18	0.00	0.55	0.00	-43.25	10.89	216.80	4649.00	6.38	180.33	3287.10	0
bbicfajwz.tn.	1	tn	2.146	11.0	0.195	0.18	0.00	0.09	0.00	0.64	0.00	-48.03	15.33	384.80	8838.22	8.14	301.54	6620.37	0
bbii.ie.	1	ie	1.099	6.0	0.183	0.33	0.00	0.33	0.00	0.33	0.00	-26.91	9.50	240.80	4529.00	5.50	182.52	2306.55	0
bbiiql.at.	1	at	1.560	8.0	0.195	0.25	0.00	0.25	0.00	0.50	0.00	-999.00	12.83	359.57	5437.17	8.90	268.98	3591.58	0
bbikhf.sg.	1	sg	1.733	8.0	0.217	0.12	0.00	0.12	0.00	0.62	0.00	-34.33	14.83	314.29	7109.33	5.15	184.74	4272.23	0
bbimikbdg.at.	1	at	1.846	11.0	0.168	0.18	0.00	0.18	0.00	0.55	0.00	-48.51	12.22	257.00	6812.89	4.80	163.58	5753.79	0
bbimola.co.ke.	1	co.ke	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.22	1.00	-40.81	8.43	118.00	2362.71	5.12	109.20	1429.04	0
bbiqwy.com.fj.	1	com.fj	1.733	8.0	0.217	0.12	0.00	0.12	0.00	0.62	0.00	-999.00	17.33	389.57	3851.83	7.80	310.61	3557.09	0
bbirf.ac.	1	ac	1.550	7.0	0.221	0.14	0.00	0.14	0.00	0.57	0.00	-33.18	12.00	223.83	3348.40	6.03	135.97	1068.95	0
bbittkkaz.su.	1	su	1.894	11.0	0.172	0.18	0.00	0.27	0.00	0.55	0.00	-999.00	12.33	266.60	3280.44	7.24	182.53	2915.82	0
bbiu.dj.	1	dj	1.330	6.0	0.222	0.33	0.00	0.17	0.00	0.33	0.00	-32.61	11.75	230.40	5047.25	4.55	145.79	3317.01	0
bbixamzt.gy.	1	gy	2.025	10.0	0.203	0.20	0.00	0.10	0.00	0.50	0.00	-999.00	12.88	308.44	5178.62	8.02	250.43	3586.84	0
bbix.com.tw.	1	com.tw	1.330	6.0	0.222	0.17	0.00	0.17	0.00	0.33	0.00	-24.57	14.50	208.80	3922.50	7.09	120.83	2828.87	0
bbixizxq.com.tw.	1	com.tw	1.748	10.0	0.175	0.20	0.00	0.30	0.00	0.50	0.00	-999.00	17.62	442.11	5662.12	9.18	343.05	5565.24	0
bbix.kz.	1	kz	1.330	6.0	0.222	0.17	0.00	0.17	0.00	0.33	0.00	-24.30	14.50	208.80	3922.50	7.09	120.83	2828.87	0
bbizd.sh.	1	sh	1.550	7.0	0.221	0.14	0.00	0.14	0.00	0.57	0.00	-34.17	14.20	260.67	5200.00	6.73	206.32	3366.89	0
bbjbo.com.fj.	1	com.fj	1.277	7.0	0.182	0.14	0.00	0.14	0.00	0.57	0.00	-999.00	14.80	379.00	6867.40	7.28	354.84	7374.35	0
bbjgddkz.co.uk.	1	co.uk	1.887	10.0	0.189	0.00	0.00	0.20	0.00	0.80	0.00	-999.00	17.38	526.56	7075.25	5.05	289.95	7645.06	0
bbjgg.tn.	1	tn	1.352	7.0	0.193	0.00	0.00	0.29	0.00	0.71	0.00	-999.00	17.60	445.17	7579.40	4.22	346.81	7300.48	0
bbjmvb.ec.	1	ec	1.494	8.0	0.187	0.00	0.00	0.12	0.00	0.75	0.00	-999.00	17.33	493.71	11058.00	5.06	271.94	8547.30	0
bbjqj.co.uk.	1	co.uk	1.352	7.0	0.193	0.00	0.00	0.29	0.00	0.71	0.00	-999.00	22.40	625.17	9127.40	6.22	371.49	10291.04	0
bbjrr.co.nz.	1	co.nz	1.352	7.0	0.193	0.00	0.00	0.29	0.00	0.71	0.00	-36.56	13.60	371.00	12006.00	7.39	296.41	7445.06	0
bbjs.gd.	1	gd	1.330	6.0	0.222	0.00	0.00	0.17	0.00	0.67	0.00	-31.11	15.25	346.20	10092.25	7.43	291.42	7477.96	0
bbjsg.my.	1	my	1.550	7.0	0.221	0.00	0.00	0.14	0.00	0.71	0.00	-34.39	15.40	379.83	12562.40	6.65	247.58	7060.80	0
bbkbyb.co.uk.	1	co.uk	1.213	8.0	0.152	0.00	0.00	0.12	0.00	0.75	0.00	-999.00	16.17	366.57	8123.33	1.67	198.72	5864.54	0
bbkv.ro.	1	ro	1.330	6.0	0.222	0.00	0.00	0.17	0.00	0.67	0.00	-26.91	17.50	419.40	11942.75	2.87	261.84	7273.09	0
bbkzhs.my.	1	my	1.733	8.0	0.217	0.00	0.00	0.12	0.00	0.75	0.00	-999.00	15.83	394.29	5347.50	5.90	270.49	5673.24	0
bblazbuo.com.pt.	1	com.pt	1.834	10.0	0.183	0.30	0.00	0.10	0.00	0.50	0.00	-43.48	12.12	232.89	5693.25	6.95	193.48	4821.57	0
bblazws.im.	1	im	1.889	9.0	0.210	0.11	0.00	0.11	0.00	0.67	0.00	-40.22	13.14	221.88	6039.86	7.72	225.58	6899.93	0
bblbirzk.com.bs.	1	com.bs	1.834	10.0	0.183	0.10	0.00	0.10	0.00	0.70	0.00	-999.00	13.38	300.89	7882.88	6.38	254.80	7035.78	0
bblexl.ec.	1	ec	1.560	8.0	0.195	0.12	0.00	0.25	0.00	0.62	0.00	-33.92	12.17	210.57	3241.17	7.08	212.11	2073.11	0
bblfl.com.mt.	1	com.mt	1.352	7.0	0.193	0.00	0.00	0.29	0.00	0.71	1.00	-41.34	13.60	221.67	8908.80	4.18	145.06	8063.21	0
bblgk.pl.	1	pl	1.550	7.0	0.221	0.00	0.00	0.14	0.00	0.71	0.00	-999.00	14.60	306.67	6964.80	3.01	238.98	6213.69	0
bblhrzlk.pe.	1	pe	1.887	10.0	0.189	0.00	0.00	0.20	0.00	0.80	0.00	-999.00	14.25	339.11	3460.25	5.72	190.03	6435.02	0
bbljura.lc.	1	lc	1.889	9.0	0.210	0.22	0.00	0.11	0.00	0.44	1.00	-999.00	12.29	215.12	6158.43	7.17	227.32	6656.81	0
bbllpt.be.	1	be	1.560	8.0	0.195	0.00	0.00	0.25	0.00	0.75	1.00	-36.76	11.50	189.86	6494.67	3.25	139.01	5739.97	0
bblnav.ly.	1	ly	1.733	8.0	0.217	0.12	0.00	0.12	0.00	0.50	0.00	-36.96	11.83	227.14	5685.17	6.36	157.85	5928.58	0
bblnx.pl.	1	pl	1.550	7.0	0.221	0.00	0.00	0.14	0.00	0.71	0.00	-30.02	14.20	301.00	9590.20	5.71	195.40	7866.36	0
bblrdtjye.co.za.	1	co.za	2.146	11.0	0.195	0.09	0.00	0.09	0.00	0.73	0.00	-999.00	12.22	339.90	3910.33	7.10	247.18	4778.60	0
bblufrbod.co.za.	1	co.za	1.972	11.0	0.179	0.18	0.00	0.09	0.00	0.55	1.00	-44.62	12.00	209.80	4801.78	4.92	129.64	3997.27	0
bblyfrm.pe.	1	pe	1.889	9.0	0.210	0.00	0.00	0.11	0.00	0.78	1.00	-37.09	13.57	226.25	4209.71	4.78	126.39	2786.61	0
bbmaou.su.	1	su	1.733	8.0	0.217	0.38	0.00	0.12	0.00	0.38	0.00	-37.90	9.83	199.71	6317.17	5.37	156.42	5682.60	0
bbmcjtgz.gr.	1	gr	2.025	10.0	0.203	0.00	0.00	0.10	0.00	0.80	0.00	-999.00	15.62	473.22	9117.38	6.36	229.58	7229.77	0
bbmmuudh.is.	1	is	1.748	10.0	0.175	0.20	0.00	0.30	0.00	0.60	0.00	-49.95	13.38	332.33	9879.38	2.00	167.50	5268.86	0
bbmqklno.ht.	1	ht	2.025	10.0	0.203	0.10	0.00	0.10	0.00	0.70	0.00	-999.00	13.62	474.11	5382.50	7.61	403.45	7065.28	0
bbmva.sg.	1	sg	1.550	7.0	0.221	0.14	0.00	0.14	0.00	0.57	0.00	-999.00	13.00	295.67	5746.00	6.54	232.01	6113.62	0
bbmvi.nf.	1	nf	1.550	7.0	0.221	0.14	0.00	0.14	0.00	0.57	0.00	-999.00	13.40	290.33	5430.60	5.89	228.81	5848.76	0
bbmxltbf.in.	1	in	1.834	10.0	0.183	0.00	0.00	0.10	0.00	0.80	0.00	-999.00	14.50	426.11	10552.50	5.24	227.65	6625.51	0
bbmzcq.li.	1	li	1.733	8.0	0.217	0.00	0.00	0.12	0.00	0.75	0.00	-999.00	17.67	509.86	8281.83	7.34	247.32	7834.71	0
bbmzirv.tw.	1	tw	1.889	9.0	0.210	0.11	0.00	0.11	0.00	0.67	0.00	-41.00	14.00	316.38	11126.00	7.17	194.69	7015.72	0
bbnahfa.co.nz.	1	co.nz	1.735	9.0	0.193	0.22	0.00	0.22	0.00	0.56	0.00	-999.00	11.29	270.25	4837.00	6.76	219.88	4220.65	0
bbnf.ch.	1	ch	1.330	6.0	0.222	0.00	0.00	0.17	0.00	0.67	0.00	-30.60	14.50	306.40	8854.00	4.27	163.95	4792.49	0
bbnfme.ag.	1	ag	1.733	8.0	0.217	0.12	0.00	0.12	0.00	0.62	0.00	-43.78	11.67	260.00	9209.83	6.05	226.54	6132.91	0
bbnftbovi.co.za.	1	co.za	1.972	11.0	0.179	0.18	0.00	0.09	0.00	0.55	0.00	-47.68	12.11	237.30	6476.56	6.47	144.90	4783.80	0
